Topic,Count,Name,Representation,Representative_Docs
443,52,443_don sponsor_sponsor war_stop working_working russia,"['don sponsor', 'sponsor war', 'stop working', 'working russia', 'dying russia', 'russia close', '112 children', 'ukrainians dying', 'russia don', '112']","['112 Children have been killed. Ukrainians are dying because of #RUSSIA! DON’T SPONSOR WAR. STOP WORKING IN RUSSIA! CLOSE THE SKY OVER #UKRAINE! !', '112 Children have been killed. Ukrainians are dying because of #RUSSIA! DON’T SPONSOR WAR. STOP WORKING IN RUSSIA! CLOSE THE SKY OVER #UKRAINE! !’', '112 Children have been killed. Ukrainians are dying because of #RUSSIA! DON’T SPONSOR WAR. STOP WORKING IN RUSSIA! CLOSE THE SKY OVER #UKRAINE! /']"
444,51,444_stopwarinukraine stop_ukraine close_standwithukraine stop_stop russian,"['stopwarinukraine stop', 'ukraine close', 'standwithukraine stop', 'stop russian', 'russian aggression', 'aggression ukraine', 'stopwarinukraine', 'stoprussia closethesky', 'stoprussia stopwarinukraine', 'ukraine exclude']","['STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia #StandWithUkraine', 'STOP RUSSIAN AGGRESSION AGAINST #Ukraine CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL!!! #StopPutin #StopRussia #StopWarInUkraine #StopWarInUkraine', 'STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia #StopWarInUkraine']"
445,51,445_lavrov_lavrov lavrov_lavrov liar_mr lavrov,"['lavrov', 'lavrov lavrov', 'lavrov liar', 'mr lavrov', 'tell lavrov', 'lavrov guy', 'room blinken', 'comedy', 'lies lavrov', 'liar']","['#Lavrov is a LIAR', 'Give Up #Lavrov - You 👉🏼🤡', 'This #lavrov? 👇']"
446,51,446_war iii_iii_world war_worldwar3,"['war iii', 'iii', 'world war', 'worldwar3', 'ww3', 'communism war', 'nuclearwar democracy', 'nuclearbombs', 'worldwariii', 'democracy communism']","['Russia, Ukraine and World War III Thank you for watching and subscribing. #Russia #Ukraine #UnitedNations #UN #NuclearWeapons #NuclearBombs #NuclearWar #Democracy #Communism #War #Putin #Invasion #Zelensky #Peace #Laughter #Joke', 'Russia, Ukraine and World War III Thank you for watching and subscribing. #Russia #Ukraine #UnitedNations #UN #WorldWarIII #NuclearWeapons #NuclearBombs #NuclearWar #Democracy #Communism #War #Putin #Invasion #Zelensky #Peace #Laughter #Jokes #Fun #Funny', 'Russia, Ukraine and World War III Thank you for watching and subscribing. #Russia #Ukraine #UnitedNations #UN #WorldWarIII #NuclearWeapons #NuclearBombs #NuclearWar #Democracy #Communism #War #Putin #Invasion #Zelensky #Peace']"
447,51,447_stoprussia close_council stopputin_ukraine exclude_exclude russia,"['stoprussia close', 'council stopputin', 'ukraine exclude', 'exclude russia', 'exclude', 'stopputin stoprussia', 'russia security', 'sky ukraine', 'close sky', 'sky']","['CLOSE the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia', 'CLOSE THE SKY OVER #UKRAINE! Exclude russia from the Security Council! #StopPutin #StopRussia', 'Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia 5']"
448,51,448_damascus_damascus airport_airport_israeli,"['damascus', 'damascus airport', 'airport', 'israeli', 'attack damascus', 'israel bombs', 'israel', 'syria israel', 'airport russia', 'discuss israeli']","['#Russia prepares #UN resolution against #Israeli attack on Damascus Airport', '#Russia prepares #UN resolution against Israeli attack on Damascus Airport', '#Russia prepares UN resolution against #Israeli attack on Damascus Airport']"
449,51,449_svpol_nazis ukraine_nazis_nazi,"['svpol', 'nazis ukraine', 'nazis', 'nazi', 'ukraine svpol', 'nazi ukraine', 'naziukraine', 'corrupt countries', 'fascists ukraine', 'ukrainian nazis']","['2..There in s no Nazis at all in #Ukraine', '3. There is no Nazis at all in #Ukraine..', '❗️⚡️No.There are no #Nazis in #Ukraine']"
450,50,450_mission don_actions compatible_needs excluded_terrorist actions,"['mission don', 'actions compatible', 'needs excluded', 'terrorist actions', 'excluded united', 'immediately terrorist', 'legalize', 'compatible', 'nations immediately', 'ukrainians standwithukraine']","[""Russia needs to be excluded from the United Nations immediately. The terrorist actions are not compatible with the UN mission. Don't legalize the genocide of Ukrainians #standwithukraine #stopwarinukraine #stoprussianaggression #stopputinnow #buchamassacre #Bucha"", ""Russia needs to be excluded from the United Nations immediately. The terrorist actions are not compatible with the UN mission. Don't legalize the genocide of Ukrainians! #standwithukraine #stopwarinukraine #stoprussianaggression #stopputinnow #buchamassacre #Bucha"", ""Russia needs to be excluded from the United Nations immediately. The terrorist actions are not compatible with the mission. Don't legalize the genocide of Ukrainians! #standwithukraine #stopwarinukraine #stoprussianaggression #stopputinnow #buchamassacre #Bucha""]"
451,50,451_armukrainenow_armukrainenow armukrainenow_armukrainenow help_help armukrainenow,"['armukrainenow', 'armukrainenow armukrainenow', 'armukrainenow help', 'help armukrainenow', 'stop armukrainenow', 'armukrainenow ukraineinnato', 'armukrainenow stop', 'westandwithukraine armukrainenow', 'act armukrainenow', 'ukraineinnato']","['#ArmUkraineNow Please..', 'this⏬ #ArmUkraineNow', 'Hence, #ArmUkraineNow !']"
452,50,452_raped tortured_tortured_soldiers raped_young years,"['raped tortured', 'tortured', 'soldiers raped', 'young years', 'raped', 'tortured children', 'children young', 'panel', 'ukraine appointed', 'panel independent']","['Russian soldiers have raped and tortured children as young as 4 years old in Ukraine, a UN-appointed panel of independent legal experts said in a damning statement on Friday that concluded war crimes had been committed in the conflict. #standwithukraine', 'Russian soldiers have raped and tortured children as young as 4 years old in Ukraine, a UN-appointed panel of independent legal experts said in a damning statement on Friday that concluded war crimes had been committed in the conflict. #ukraine #russia', '#Russian soldiers have raped and tortured children as young as 4 years old in Ukraine, a UN-appointed panel of independent legal experts said in a damning statement on Friday that concluded war crimes had been committed in the conflict.']"
453,50,453_india_india india_friendships_india russia,"['india', 'india india', 'friendships', 'india russia', 'history decide', 'india did', 'unsc india', 'usa dangerous', 'decision india', 'india 1971']","[""India doesn't need lecture on Humanity and Peace from the West and Allies of America. US supported Pakistan for years against India, even in 1971 war they sent their 7th Fleet to put pressure on India when Russia came in support of India. India in UN #RussiaUkraineWar #UNSC"", 'India talk with Veto power Russia and tell them they were against the war. War is not a solution but India also supports the security concern of Russia. India is neutral. Ukraine always vote against India in the UN but India neutral #RussiaUkraineWar no war please', 'Good decision of India in UN. India chose to remain neutral for Ukraine, which has always been hostile to India. Whereas, Russia has always been a supporter of India. India is against war, whether it is in Ukraine or in Afghanistan,Iraq,Vietnam, Somalia etc #India #RussiaUkraine']"
454,50,454_wto_wto russia_withdraw wto_leaving wto,"['wto', 'wto russia', 'withdraw wto', 'leaving wto', 'russia considers', 'considers leaving', 'withdrawing', 'russia sever', 'world trade', 'trade organization']","['Russia prepares to withdraw from WTO and WHO - #russia #moscow', '#Russia Plans To Withdraw From #WTO, #WHO “Russia withdrew from the Council of Europe, now the next step is to withdraw from the WTO and the WHO, which have neglected all obligations in relation to our country.”', 'Russia takes first steps to withdraw from WTO, WHO – POLITICO #covid19 #WHO #WTO #Russia']"
455,50,455_democracy_democracy potus_federal republic_repboebert democracy,"['democracy', 'democracy potus', 'federal republic', 'repboebert democracy', 'republic potus', 'republic', 'federal', 'california repmtg', 'repmtg repboebert', 'repboebert']","['#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert The *.S. government is ""SUPPOSED"" to be a ""FEDERAL REPUBLIC"". but it isn\'t, it is something else.', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert Democrats... I can\'t prove or show you America is any other form of government but a ""FEDERAL REPUBLIC"" or I would.', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert How\'s that ""DEMOCRACY"" working out for you?']"
456,50,456_using weapons_violation resolutions_ukraine violation_russia using,"['using weapons', 'violation resolutions', 'ukraine violation', 'russia using', 'accuses russia', 'weapons north', 'weapons northkorea', 'korea iran', 'iran ukraine', 'northkorea iran']","['#US accuses #Russia of using weapons from North Korea, Iran in Ukraine in violation of UN resolutions', 'US accuses #Russia of using weapons from North Korea, #Iran in #Ukraine in violation of UN resolutions', '#US accuses Russia of using weapons from North Korea, Iran in #Ukraine in violation of #UN resolutions']"
457,50,457_children close_killing children_stop killing_stoprussia stop,"['children close', 'killing children', 'stop killing', 'stoprussia stop', 'council stopputin', 'ukraine exclude', 'killing', 'exclude russia', 'exclude', 'stopputin stoprussia']","['Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia❗️❕❗️❕❗️❕❗️❕❗️', 'Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia🙏🏼', 'Stop killing our children! Close the sky over #Ukraine! Exclude russia from the Security Council! #StopPutin #StopRussia⚠️⚠️']"
458,50,458_white lives_equal attention_attention black_gives equal,"['white lives', 'equal attention', 'attention black', 'gives equal', 'black white', 'really gives', 'fraction', 'world really', 'world treating', 'affecting black']","['chief questions whether the world really gives equal attention to black &amp;white lives, given that ongoing crises in other parts of the #world garnered only fraction of the concern for #Ukraine #Tigray #EritreanTroopsOutOfTigray', 'chief questions whether the world really gives equal attention to black &amp;white lives,given that ongoing crises in other parts of the world garnered only fraction of the concern for #Ukraine #Tigray #EritreanTroopsOutOfTigray', 'chief questions whether the world really gives equal attention to black &amp;white lives, given that ongoing crises in other parts of the world garnered only fraction of the concern for #Ukraine #Tigray #EritreanTroopsOutOfTigray']"
459,49,459_putinwarcriminal standwithukraine_standwithukraine standwithukraine_push button_standwithukraine putinhitler,"['putinwarcriminal standwithukraine', 'standwithukraine standwithukraine', 'push button', 'standwithukraine putinhitler', 'standwithukraine love', 'putinhitler standwithukraine', 'putinwarcriminal stopped', 'standwithukraine', 'putinwarcriminal', 'standwithukraine putin']","[""Honestly , it's time to act like a man not a little boy who is afraid of pissing off creeps like Adolph Ras(putin). Grow a set! #SlavaUkraïni #StandWithUkraine #StandUpForUkraine #EuropeanUnion"", 'Tell the #WHO directors Tell the #CONs !!!!! Diversion Tell DR Tam etc. CONFUSION #SamePlayBook #putintrumppewpee Trump Sold NA #StandWithUkraine #ArmUkraineNow cannonfodder', ""Don't do business in Russia. Don't reward Putin for his crimes. #Austria #NoRussianEnergy #StopPutinNOW #ArmUkraineNow #StopRussianTerrorism #WarCrimes #StopGenocide #SaveLives #ExpelRussia #StandWithUkraine️""]"
460,49,460_russian soldier_soldier_text messages_soldier mother,"['russian soldier', 'soldier', 'text messages', 'soldier mother', 'text', 'reads', 'mama', 'messages', 'ukraine ambassador', 'messages russian']","[""#Ukraine's UN ambassador reads texts from a #Russian soldier to his mother moments before he was killed: 'Mama, I'm in Ukraine. There is a real war raging here. I'm afraid. We are bombing all of the cities, even targeting civilians'"", '#Ukraine\'s Ambassador to the UN read out text messages between a Russian soldier and his mother moments before he was killed. He read them in Russian ""Mama, I\'m in #Ukraine. There is a real war raging here. I\'m afraid. We are bombing all of the cities. even targeting civilians.""', 'Ukraine\'s Ambassador to the UN read out text messages between a Russian soldier and his mother moments before he was killed. ""Mama, I\'m in Ukraine. There is a real war raging here. I\'m afraid. We are bombing all of the cities...even targeting civilians."" #war #Ukraine #Russian']"
461,49,461_budapest_budapest memorandum_budapestmemorandum_memorandum,"['budapest', 'budapest memorandum', 'budapestmemorandum', 'memorandum', 'signed budapest', '1994', 'security assurances', '3007', 'budapestagreement', 'memorandum security']","['Neither #Germany is a #signatory of the #Budapest #Memorandum on Security Assurances nor is it a permanent member of the Security Council of the United Nations. What does #Germany also has to do with the #Ukraine #war? #UNSecurityCouncil #Budapestmemorandum', '#Ukraine gave up its #nuclear arsenal when it signed the #Budapest Memorandum, and is a founding member of the #UN. But the #UN cannot muster a response and a mission to save #Ukraine from a genocide committed by #Russia, which is a signatory of the #Budapest Memorandum!? Shame!', 'The Budapest Memorandum.....#Ukraine #UN']"
462,49,462_refugee crisis_growing refugee_fastest growing_fastest,"['refugee crisis', 'growing refugee', 'fastest growing', 'fastest', 'crisis europe', 'refugee', 'ukraine fastest', 'growing', 'world war', 'war ii']","['#Ukraine has fastest-growing refugee crisis since second world war, says UN - The Guardian', 'War in #Ukraine: The fastest-growing refugee crisis in #Europe since World War II, according to the UN Refugee Agency ⤵️', '“#Ukraine has fastest-growing #refugee crisis since second world war, says ”']"
463,49,463_crypto_bitcoin_ownership_bitcoin crypto,"['crypto', 'bitcoin', 'ownership', 'bitcoin crypto', 'worldwide share', 'population united', 'cryptocurrency', 'nations report', 'blockchain', 'cryptonews']","['#Ukraine 🇺🇦 and #Russia 🇷🇺 are the top 2 countries in #Bitcoin and crypto ownership #worldwide by share of population - United Nations report.', '#Ukraine 🇺🇦 and #Russia 🇷🇺 are the top 2 countries in #Bitcoin and #crypto ownership worldwide by share of population - United Nations report.', 'Ukraine 🇺🇦 and Russia 🇷🇺 are the top 2 countries in #bitcoin and crypto ownership worldwide by share of population - United Nations report #Ukraine #Russia']"
464,49,464_human shields_shields_civilians human_nursing home,"['human shields', 'shields', 'civilians human', 'nursing home', 'using civilians', 'nursing', 'use civilians', 'report confirms', 'used human', 'ukrainians use']","['#UN report confirms Ukrainians’ use of civilians as “human shields” c/ #Zelensky #vereshchuk', 'what happens when #Zelensky admits to using civilians as human shields?', 'UN report confirms Ukrainians’ use of civilians as “human shields” UN report from the Office of the High Commissioner for Human Rights (OHCHR) has confirmed that the #Ukrainian Army is purposefully putting civilians in harm’s way as “human shields.”']"
465,49,465_sudan_khartoum_sudanese_south sudan,"['sudan', 'khartoum', 'sudanese', 'south sudan', 'sudancoup', 'arms embargo', 'uganda southafrica', 'darfur', 'africa au', 'southafrica nigeria']","['The Battle over Sudan, how the two Generals will Destroy #Sudan; #AbdelFattah #Dagalo #Coups #Africa #AU #UN #US #Russia #Uganda #SouthAfrica #Nigeria #Politics #Conflict #Security #Crime #War #Democracy #Khartoum #Peace #Bongo', 'The Battle over Sudan, how the two Generals will Destroy #Sudan; #AbdelFattah #Dagalo #Coups #Africa #AU #UN #US #Russia #Kenya #Uganda #SouthAfrica #Nigeria #Politics #Conflict #Security #War #Democracy #Khartoum #Peace #Bongo', 'The Battle over Sudan, how the two Generals will Destroy #Sudan; #AbdelFattah #Dagalo #Coups #Africa #AU #UN #US #Russia #EastAfrica #Kenya #Uganda #SouthAfrica #Nigeria #Politics #Conflict #Security #Democracy #Khartoum #Bongo']"
466,49,466_woman_ok knew_streets protest_just pr,"['woman', 'ok knew', 'streets protest', 'just pr', 'russia hoax', 'great hero', 'shes', 'hoax', 'dossier', 'knew']","[""THIS WOMAN IS A GREAT HERO: #YELENAOSIPOVA! SHE SHOULD BE TAKEN TO #UN, IN #NEWYORK, TO BE AWARDED IN PUBLIC! ARRESTED AT 80 YEARS OLD BUT BACK IN THE STREETS TO PROTEST AGAINST BLOODTHIRSTY WORMS #PUTIN &amp; #DUGIN THESE ARE WOMEN, NOT #BERLUSCONI'S BITCHES!"", ""THIS WOMAN IS A GREAT HERO: #YELENAOSIPOVA! SHE SHOULD BE TAKEN TO #UN, IN #NEWYORK, TO BE AWARDED IN PUBLIC! ARRESTED AT 80 YEARS OLD BUT BACK IN THE STREETS TO PROTEST AGAINST BLOODTHIRSTY PIGS #PUTIN AND #DUGIN THESE ARE WOMEN, NOT #BERLUSCONI'S WHORES!"", 'Hillary Clinton spread the biggest ""Conspiracy Theory"" of all time. SHE SAID #TRUMP WAS A #PUTIN PUPPET, WHEN IT WAS ACTUALLY HILL WHO COLLUDED W/RUSSIA. She paid for the #Russia Hoax Dossier and attempted a #coup on a Presidential Candidate and later a sitting President.']"
467,49,467_japan_中国 china_asia europe_asean,"['japan', '中国 china', 'asia europe', 'asean', '中国', 'middleeast asean', '新闻', 'asia', 'africa middleeast', '新闻 news']","[""5)and disguise as Chinese netizens to deny Japan's history of war of aggression during World War II! #中国 #China #Russia #新闻 #NEWS #World #UN #Asia #Europe #Africa #MiddleEast #ASEAN #International #USA #UnitedStates #Japan"", ""3)and try to cover up the history of Japan's war of aggression during World War II! #中国 #China #Russia #新闻 #NEWS #World #G20 #APEC #UN #Asia #Europe #Africa #SouthAfrica #MiddleEast #ASEAN #International"", '7) Although Japan has always claimed to ""guarantee"" that it will not restore Nazi-fascist militarism. #中国 #China #Russia #新闻 #NEWS #World #UN #Asia #Europe #Ukraine #Africa #MiddleEast #ASEAN #International #Japan']"
468,48,468_procedural vote_procedural_russia procedural_india voted,"['procedural vote', 'procedural', 'russia procedural', 'india voted', 'india time', 'india votes', 'voted russia', 'votes russia', 'time india', 'vote united']","['#India for the first time on Wednesday voted against Russia during a “procedural vote” at the United Nations Security Council on #Ukraine. via', 'For the first time, India voted against Russia during a ""procedural vote"" on Ukraine at the United Nations Security Council. #briflynews #india #Votes #russia #UNSC #ukraine', '#India for the first time voted against #Russia during a “procedural vote” at the United Nations Security Council on #Ukraine.']"
469,48,469_ukraine denounces_russia terrorist_state meeting_denounces russia,"['ukraine denounces', 'russia terrorist', 'state meeting', 'denounces russia', 'terrorist state', 'denounces', 'state urgent', 'denounced russia', 'assembly meeting', 'state sponsor']","[""Ukraine denounces Russia as 'terrorist state' at UN meeting, reports #Ukraine #Russia #russiaisaterrorisstate #UN"", ""Ukraine denounces Russia as 'terrorist state' in UN meeting via #Ukraine #Russia #TerroristState #UN #UkraineRussiaWar"", ""#Ukraine denounces #Russia as 'terrorist state' in UN meeting""]"
470,48,470_hwpl_dpcw_russia hwpl_prayforpeace stopwar,"['hwpl', 'dpcw', 'russia hwpl', 'prayforpeace stopwar', 'together_peace', 'weareone', 'weareone together_peace', 'prayforpeace', 'stopwar ukraine', 'manheelee']","['#PEACEMESSAGE ""DPCW is a wonderful instrument that has been crafted by HWPL to ensure that it ... #PrayForPeace #StopWar #ukraine #russia #UN #HWPL #IWPG #IPYG #WeAreOne #Together_Peace #PeaceActivities #DPCW #LegislatePeace #LP #LawforPeace #AllianceofReligions #PeaceEducation', ""#PEACENEWS HWPL's 6th Annual Commemoration of the Declaration of Peace and Cessation of War (DPCW) #PrayForPeace #StopWar #ukraine #russia #UN #HWPL #IWPG #IPYG #WeAreOne #Together_Peace #PeaceActivities #DPCW #LegislatePeace #LP #LawforPeace #AllianceofReligions #PeaceEducation"", ""HWPL's 6th Annual Commemoration of the Declaration of Peace and Cessation of War (DPCW) ... #PrayForPeace #StopWar #ukraine #russia #UN #HWPL #IWPG #IPYG #WeAreOne #Together_Peace #PeaceActivities #DPCW #LegislatePeace #LP #LawforPeace #AllianceofReligions #PeaceEducation""]"
471,48,471_tigraygenocide lives_extend support_ic ukraine_support stop,"['tigraygenocide lives', 'extend support', 'ic ukraine', 'support stop', 'ukraine sc', 'matter despite', 'stop ongoing', 'selective', 'ongoing tigraygenocide', 'evident']","['it’s evident that selective compassion is demonstrated by the #IC towards #Ukraine. Why can’t the |SC extend the same support to stop the ongoing #TigrayGenocide? Do some lives matter more than others?', 'Despite #587DaysOfTigrayGenocide, it’s evident that selective compassion is demonstrated by the #IC towards #Ukraine. Why can’t the |SC extend the same support to stop the ongoing #TigrayGenocide? Do some lives matter more than others?', 'Despite #501_DaysOfTigrayGenocide, it’s evident that selective compassion is demonstrated by the #IC towards #Ukraine. Why can’t the |SC extend the same support to stop the ongoing #TigrayGenocide? Do some lives matter more than others?']"
472,48,472_vacancy_ocha_unjobs_job,"['vacancy', 'ocha', 'unjobs', 'job', 'hiring', 'english ukrainian', 'unitednations unjobs', 'english', 'job opportunities', 'new job']","[""We're #hiring #public #information Officer in #Kiev #Ukraine️ Fluency in #English #Ukrainian #Russian is required. #Apply before 23June'22 #UnitedNations #OCHA #job #unjobs #vacancy #WeAreHiring #ApplyNow #UkraineJobs #interpreters #hiring"", ""📣 #OCHA is #hiring for #humaitarian #jobs in #Dnipro Candidates must have ✅ #Ukraine️ nationality ✅ #English #Ukrainian ✅ 2 years of #humanitarian experience #ApplyNow ➡ 🗓️ 3Aug'22 #UnitedNations #unjobs #HIRINGNOW #UkraineJobs #hiring"", '📣 #OCHA is #hiring #humanitarian #officer in #Kyiv Candidates must have ✅ #Ukraine️ nationality ✅ #English #Ukrainian ✅ 2 years of work #humaitarian experience #ApplyNow ➡ 🗓️ 16Sep22 #UnitedNations #Jobs #vacancy #Job #OCHA #unjobs']"
473,48,473_children close_killing children_stop killing_stoprussia stop,"['children close', 'killing children', 'stop killing', 'stoprussia stop', 'council stopputin', 'ukraine exclude', 'killing', 'exclude russia', 'exclude', 'stopputin stoprussia']","['Stop killing our children! Close the sky over #Ukraine!!! Exclude russia from the Security Council! #StopPutin #StopRussia', 'Stop killing our children! Close the sky over #Ukraine! !!! Exclude russia from the Security Council! #StopPutin #StopRussia', 'Stop killing our children! Close the sky over #Ukraine! !!!!Exclude russia from the Security Council! #StopPutin #StopRussia']"
474,48,474_need urgent_tigray need_humanitarian assistance_medication pls,"['need urgent', 'tigray need', 'humanitarian assistance', 'medication pls', 'millions tigray', 'assistance endtigraysiege', 'pls action', 'urgent', 'urgent humanitarian', 'assistance suffering']","['Millions of people in #Tigray need urgent humanitarian assistance now! They are suffering from dire famine and lack of medication 🌎 pls take action now &amp; save millions of lives #EndTigraySiege #TigrayFamine', 'Millions in #Tigray need urgent humanitarian assistance now!! They are suffering from dire famine and lack of medication.🌎 pls take action now &amp; save millions of lives. #EndTigraySiege #TigrayFamine', 'Millions in #Tigray need urgent humanitarian assistance now! They are suffering from dire famine and lack of medication. 🌎 pls take action now &amp; save millions of lives. #EndTigraySiege #TigrayFamine']"
475,48,475_putin agreed_agreed principle_evacuation civilians_civilians azovstal,"['putin agreed', 'agreed principle', 'evacuation civilians', 'civilians azovstal', 'principle', 'involvement evacuation', 'cross evacuation', 'involvement', 'agreed', 'principle involvement']","['#Russia | President Vladimir Putin agreed in principle to the involvement of the United Nations (UN) and the International Committee of the Red Cross (ICRC) in the evacuation of civilians from the Azovstal plant in Mariupol of Ukraine.', 'President #Putin agreed, in principle, to the involvement of the and the in the evacuation of civilians from the Azovstal plant in #Mariupol.', 'Russian President Vladimir Putin agreed ""in principle"" to #UN and International Committee for the Red Cross involvement in the evacuation of civilians from the Azovstal plant in Ukraine\'s #Mariupol.']"
476,48,476_sri_sri lanka_lanka_srilanka,"['sri', 'sri lanka', 'lanka', 'srilanka', 'sri lankan', 'lankan', 'srilankacrisis', 'anonymous', 'gohomegota', 'economiccrisis']","[""Sri Lanka: 'I can’t afford milk for my babies': As fuel, food and medicines run out, Sri Lanka is on the brink of a humanitarian crisis, the UN warns. #news #asianews"", '#AnonymousSaveSriLanka #Anonymous #humanrights #UN Stand with us.... Social media is the one way to know true news in Sri Lanka. Sri Lanka Corrupted Politicians Run Media Beggin....', '#AnonymousSaveSriLanka #Anonymous #humanrights #UN Stand with us.... Social media is the only way to know true news in Sri Lanka. Sri Lanka Corrupted Politicians Run Media Beggin....']"
477,48,477_helmets_blue helmets_blue_helmets ukraine,"['helmets', 'blue helmets', 'blue', 'helmets ukraine', 'send blue', 'helmets sent', 'immediately ukrainerussianwar', 'conflict took', 'nations peacekeeping', 'intervene immediately']","['UN Blue Helmets NOW to the ucrainian Regions where in the moment is no Fighting. NOW! #UkraineWar', 'Blue Helmets ASAP! Thousands of them needed in #Ukraine️!', '""Where Are The Blue Helmets? Why The #UN Can\'t Keep The Peace In #Ukraine"" - #Russia']"
478,48,478_stoprussia genocide_hands europe_ukraine blood_people hands,"['stoprussia genocide', 'hands europe', 'ukraine blood', 'people hands', 'europe stoprussia', 'blood innocent', 'people close', 'genocide ukrainian', 'innocent people', 'blood']","['🙏🏻This is the genocide of the Ukrainian people. Close the sky over #Ukraine! The blood of innocent people on your hands too, #Europe. #StopRussia', '😞🥺This is the genocide of the Ukrainian people. Close the sky over #Ukraine The blood of innocent people on your hands too #Europe. #StopRussia', '🥺☹️This is the genocide of the Ukrainian people. Close the sky over #Ukraine The blood of innocent people on your hands too #Europe. #StopRussia']"
479,48,479_living crisis_cost living_growth_global economic,"['living crisis', 'cost living', 'growth', 'global economic', 'forecast', 'economic growth', 'crisis catalyzed', 'catalyzed', 'poverty warns', 'cost']","['Global cost-of-living crisis catalyzed by war in #Ukraine sending tens of millions into #poverty- warns UNDP Countries facing the most drastic impacts of the crisis across all poverty lines are: Ghana, Kenya, Rwanda, #Tanzania', 'Global cost-of-living crisis catalyzed by war in #Ukraine sending tens of millions into #poverty- warns UNDP Countries facing the most drastic impacts of the crisis across all poverty lines are: Ghana, Kenya, Rwanda, Tanzania,', 'Global cost-of-living crisis catalyzed by war in #Ukraine sending tens of millions into #poverty- warns Countries facing the most drastic impacts of the crisis across all poverty lines are: Ghana, Kenya, Rwanda, Tanzania,']"
480,48,480_putin stoprussia_children europe_europe stop_stopputin close,"['putin stoprussia', 'children europe', 'europe stop', 'stopputin close', 'ukraine children', 'stop putin', 'stoprussia stopputin', 'sky ukraine', 'close sky', 'stopputin']","['#StopRussia #StopPutin CLOSE THE SKY OVER #UKRAINE! CHILDREN OF THE WHOLE #EUROPE WILL BE NEXT! STOP PUTIN NOW! ⛔️🛑', '#StopRussia #StopPutin CLOSE THE SKY OVER #UKRAINE! CHILDREN OF THE WHOLE #EUROPE WILL BE NEXT! STOP PUTIN NOW! 🚫😡', '#StopRussia #StopPutin CLOSE THE SKY OVER #UKRAINE! CHILDREN OF THE WHOLE #EUROPE WILL BE NEXT! STOP PUTIN NOW! ⚠️⚠️⚠️⚠️']"
481,48,481_black sea_sea_black_ships,"['black sea', 'sea', 'black', 'ships', 'ships black', 'international waters', 'international ships', 'federation allow', 'sea inspection', 'sea russian']","[""The Russian Federation cannot allow the unhindered passage of ships through the Black Sea without inspection, said #Russia's Permanent Representative to the UN Nebenzya. #Ukraine #UkraineRussiaWar #Kyiv #Kharkiv #Kherson #zaporijia #Moscow"", '⚡️📣⚡️#BREAKING #RUSSIA IS CLOSING THE BLACK SEA!! ""The Russian Federation cannot allow the unimpeded passage of ships through the Black Sea without inspection"" - Russia\'s Permanent Representative to the UN Vasily Nebenzya #RussiaUkraineWar #Russia #RussianUkrainianWar', '🇷🇺🇺🇦⚡️#BREAKING RUSSIA IS CLOSING THE BLACK SEA!! ""The Russian Federation cannot allow the unimpeded passage of ships through the Black Sea without inspection"" - Russia\'s Permanent Representative to the UN Vasily Nebenzya #RussiaUkraineWar #Russia #RussianUkrainianWar']"
482,47,482_malnutrition_g7 leaders_calling g7_nutrition,"['malnutrition', 'g7 leaders', 'calling g7', 'nutrition', 'risk malnutrition', 'urgent funds', 'children middle', 'malnutrition crisis', 'north africa', 'east north']","['While the world is focused on Ukraine, countries in the Horn of Africa are sliding into famine. As UNICEF reaches vulnerable children suffering with lifesaving health and nutrition, we’re calling on #G7 leaders for urgent funds.', 'As the war in #Ukraine continues, millions of children in the Middle East and North Africa at increased risk of #malnutrition amid food price hikes 📸UNICEF/UN0614741/Yemen/2021/Al-Haj', 'In #Sudan, an estimated 650,000 #children are suffering from severe acute malnutrition &amp; in urgent need of support. As UNICEF reaches vulnerable children with lifesaving health and nutrition, we’re calling on #G7 leaders for urgent funds.']"
